Rank,Artist,Album,Date,Rating,Ratings Count,Genres
13,Tinashe,BB/ANG3L,8 September 2023,3.62,6k,"Alternative R&B, Electronic, Trap Soul, UK Garage, UK Bass"
14,Colin Stetson,When We Were That What Wept for the Sea,12 May 2023,3.64,3k,"Post-Minimalism, Totalism, Drone"
15,Blood Abscission,I,4 August 2023,3.66,556,"Atmospheric Black Metal, Melodic Black Metal, Post-Metal"
16,Hellripper,Warlocks Grim & Withered Hags,17 February 2023,3.63,3k,"Speed Metal, Black Metal, Melodic Black Metal"
17,Aprxel,Tapetumlucidum<3,1 November 2023,3.65,921,"Alternative R&B, Neo-Psychedelia, Art Pop, Glitch, Epic Collage, PluggnB, Hypnagogic Pop, Wave"
18,Demoniac,Nube negra,1 September 2023,3.65,1k,"Technical Thrash Metal, Progressive Metal, Black Metal"
19,Florence Sinclair,"Departures, Wonders & Tears",20 July 2023,3.66,570,"Experimental Hip Hop, Cloud Rap, Sound Collage, Hypnagogic Pop, Art Pop"
20,Gezebelle Gaburgably,Gaburger,4 July 2023,3.63,2k,"Slacker Rock, Power Pop, Indie Pop, Noise Pop, Geek Rock, Garage Punk, Singer-Songwriter"
21,Trhä,Avrhëlajntrhëhh hinnem nihreAv◊ëlajnt◊ë£ hinnem nihre,1 November 2023,3.64,2k,"Black Metal, Atmospheric Black Metal, Dungeon Synth"
22,Sadness/,Sadness // Abriction,27 March 2023,3.63,3k,"Shoegaze, Emo, Blackgaze, Post-Rock, Ambient"
23,Infibulated,Diabolical Euphoric Subjugation,20 September 2023,3.67,296,"Brutal Death Metal, Slam Death Metal"
24,Nuclear Power Trio,Wet Ass Plutonium,28 July 2023,3.66,384,"Progressive Metal, Funk Metal, Flamenco nuevo"
25,Junior H,$ad Boyz 4 Life II,5 October 2023,3.65,376,"Corrido tumbado, Banda sinaloense"
26,Amaarae,Fountain Baby,9 June 2023,3.61,6k,"Alternative R&B, Alté, Pop Rap, Dance-Pop, Funk brasileiro, Neo-Psychedelia"
27,Jane Remover,Census Designated,20 October 2023,3.58,10k,"Shoegaze, Post-Rock, Dream Pop, Emo, Noise Rock, Indie Rock, Slowcore"
28,The Lemon Twigs,Everything Harmony,5 May 2023,3.61,5k,"Soft Rock, Pop Rock, Baroque Pop, Folk Pop, Jangle Pop, Power Pop, Psychedelic Pop"
29,Feeble Little Horse,Girl With Fish,9 June 2023,3.61,6k,"Noise Pop, Slacker Rock, Indie Pop, Shoegaze, Twee Pop, Neo-Psychedelia"
30,Yussef Dayes,Black Classical Music,8 September 2023,3.64,2k,"Jazz Fusion, Spiritual Jazz, Jazz-Funk, Nu Jazz, Afro-Jazz"
31,Great Falls,Objects Without Pain,15 September 2023,3.64,2k,"Sludge Metal, Noise Rock, Post-Hardcore, Mathcore, Post-Metal"
32,Wayfarer,American Gothic,27 October 2023,3.64,2k,"Atmospheric Black Metal, Gothic Country, Post-Metal, Western"
33,Trhä,Rhejde qhaominvac tla aglhaonamëc,21 July 2023,3.64,919,"Atmospheric Black Metal, DSBM, Blackgaze"
34,This Is the Glasshouse,As Small as Ants,9 July 2023,3.64,546,"Indie Rock, Chamber Pop, Art Rock, Jazz-Rock, Midwest Emo"
35,The Chronicles of Father Robin,The Songs & Tales of Airoea - Book I: The Tale of Father Robin (State of Nature),15 September 2023,3.66,288,"Symphonic Prog, Progressive Rock, Progressive Folk, Neo-Canterbury"
36,Trhä,Shwandlhë aglivajsamë cá nëlhqhiha i eddana piqhe§ºanΩë aglivajsamë cá nëlh¶iha i eddana pi¶e,10 August 2023,3.63,888,"Atmospheric Black Metal, Ambient, Winter Synth"
37,KNOWER,Knower Forever,2 June 2023,3.61,3k,"Synth Funk, Jazz-Funk, Nu Jazz, Art Pop, Jazzstep, Jazz Fusion"
38,Dying Fetus,Make Them Beg for Death,8 September 2023,3.61,3k,"Brutal Death Metal, Technical Death Metal"
39,Mon Laferte,Autopoiética,10 November 2023,3.63,2k,"Art Pop, Latin Alternative, Bolero, Trip Hop, Latin Pop, Latin Electronic, Alt-Pop"
40,Jute Gyte,Unus mundus patet,5 September 2023,3.63,682,"Avant-Garde Metal, Dissonant Black Metal, Black Metal, Dark Ambient, Drone, Totalism, Microtonal Classical, Black Noise"
